Model,Mean Squared Error,R^2 Score
Random Forest,0.0639652596460846,0.23433039585837934
Linear Regression,0.06327570001614273,0.24258448333978544
Ridge Regression,0.07399673702597621,0.11425275751352537
Lasso Regression,0.09380521298576289,-0.12285638627319972
Gradient Boosting,0.05782594330196639,0.3078185352157393
