Model,Mean Squared Error,R^2 Score
Random Forest,0.06119027401449578,0.26952360501219075
Linear Regression,0.06130672890934735,0.2681333914016142
Ridge Regression,0.07387784884101371,0.11806205218081511
Lasso Regression,0.0944332047553477,-0.1273233873816384
Gradient Boosting,0.06112150803194322,0.2703445185943213
