region_name,mean_light,sum_light
三重県,18.937589056711314,132904.0
京都府,17.01245363010069,96307.5
佐賀県,22.489037341555328,65645.5
兵庫県,20.64989792942549,212425.5
北海道,9.0490831949504,1040816.5
千葉県,33.90237945162307,215144.5
和歌山県,11.59906984906985,66091.5
埼玉県,42.34746122795836,199329.5
大分県,10.28008680783901,78159.5
大阪府,49.173010380622834,113688.0
奈良県,14.5615247436469,65323.0
宮城県,16.424750241701577,152898.0
宮崎県,9.049105194238324,82926.0
富山県,15.716261998870694,83500.5
山口県,13.21228710462287,97744.5
山形県,12.648491198658844,150896.5
山梨県,13.856002901704752,76402.0
岐阜県,13.520966758157975,177341.0
岡山県,15.057108350586612,130906.5
岩手県,9.21451962315482,182899.0
島根県,8.060075398273137,66278.0
広島県,14.860543888512533,153554.0
徳島県,11.69027167399121,58521.5
愛媛県,11.72201821386604,79803.5
愛知県,36.93338063702302,234231.5
新潟県,13.113440352533837,208307.0
東京都,40.188128023818386,107985.5
栃木県,21.484136897327005,172002.0
沖縄県,0.0,0.0
滋賀県,21.9681975208291,108105.5
熊本県,13.348714754840902,117882.5
石川県,13.506588999236058,70720.5
神奈川県,44.706763122476445,132868.5
福井県,12.91108968177435,66944.0
福岡県,29.264160401002506,175146.0
福島県,11.234533118675254,195391.0
秋田県,10.289202745512144,155902.0
群馬県,18.53540772532189,146837.5
茨城県,30.42228081740277,230753.0
長崎県,14.205668751260843,70417.5
長野県,13.242899584076055,222878.0
青森県,13.182919181625774,168174.5
静岡県,20.681202059472522,196823.0
香川県,23.733407079646017,53637.5
高知県,7.361889136294386,62819.0
鳥取県,9.075133132669599,39195.5
鹿児島県,8.925339156290653,96054.5
