region_name,mean_light,sum_light
三重県,19.894841835280708,139622.0
京都府,17.76947535771065,100593.0
佐賀県,23.253854059609456,67878.0
兵庫県,21.51249149411879,221299.0
北海道,10.075935280258044,1158924.0
千葉県,34.8052316419792,220874.0
和歌山県,12.192523692523693,69473.0
埼玉県,43.170596983216484,203204.0
大分県,10.626989346310667,80797.0
大阪府,50.332179930795846,116368.0
奈良県,15.400356665180562,69086.0
宮城県,18.035019873240948,167888.0
宮崎県,9.055325185508512,82983.0
富山県,18.028985507246375,95788.0
山口県,13.0301432819681,96397.0
山形県,13.897904442581726,165802.0
山梨県,14.091585056220529,77701.0
岐阜県,14.346980786825252,188175.0
岡山県,15.765240395675178,137063.0
岩手県,9.673887853292356,192017.0
島根県,8.50407393895172,69929.0
広島県,14.780799380625181,152730.0
徳島県,12.816220535357571,64158.0
愛媛県,12.417890716803761,84541.0
愛知県,38.67123935666982,245253.0
新潟県,13.852691218130312,220050.0
東京都,40.418682545589874,108605.0
栃木県,22.135273544841368,177215.0
沖縄県,0.0,0.0
滋賀県,23.49034749034749,115596.0
熊本県,13.626203148001359,120333.0
石川県,15.877960275019099,83137.0
神奈川県,44.7728802153432,133065.0
福井県,13.960077145612344,72383.0
福岡県,31.201670843776107,186742.0
福島県,11.811005059797608,205417.0
秋田県,11.26775343189018,170729.0
群馬県,18.49747538500379,146537.0
茨城県,31.22003955174687,236804.0
長崎県,15.269114383699819,75689.0
長野県,13.316518122400476,224117.0
青森県,13.962295210472682,178117.0
静岡県,22.018913523169065,209554.0
香川県,26.236725663716815,59295.0
高知県,7.536388140161725,64308.0
鳥取県,10.272516786293123,44367.0
鹿児島県,9.142073963947222,98387.0
