region_name,mean_light,sum_light
三重県,1.7065232092921772,11976.3798828125
京都府,2.2437076322646177,12701.62890625
佐賀県,1.599940248693902,4670.2255859375
兵庫県,2.946519841486828,30310.849609375
北海道,1.0782962352959076,124024.5546875
千葉県,6.075065740230066,38552.3671875
和歌山県,1.0933721776006933,6230.03466796875
埼玉県,7.307294986190779,34395.4375
大分県,1.0708459936661516,8141.64208984375
大阪府,18.848473994377162,43577.671875
奈良県,1.7421694316345298,7815.3720703125
宮城県,1.7718714751853046,16494.3515625
宮崎県,0.6553089236755237,6005.2509765625
富山県,1.6588087665278561,8813.2509765625
山口県,1.16136408277575,8591.771484375
山形県,1.0044795814124057,11983.44140625
山梨県,1.1808456847059756,6511.18310546875
岐阜県,1.174894108936604,15409.9111328125
岡山県,1.3794889974407638,11993.27734375
岩手県,0.7166190185116379,14224.1708984375
島根県,0.6338455328233309,5212.11181640625
広島県,1.384129767794929,14302.212890625
徳島県,0.9013910846047243,4512.36376953125
愛媛県,1.0262669923022547,6986.82568359375
愛知県,7.814105122595396,49557.0546875
新潟県,1.0778509354343722,17121.662109375
東京都,20.535595285169332,55179.14453125
栃木県,1.764918986541344,14129.94140625
沖縄県,0.0,0.0
滋賀県,1.969089742938427,9689.890625
熊本県,1.0648539900280263,9403.7255859375
石川県,1.586032619724026,8304.466796875
神奈川県,12.771701242849932,37957.49609375
福井県,1.1692248146697204,6062.4306640625
福岡県,4.435170608813701,26544.49609375
福島県,0.9435486008294043,16410.197265625
秋田県,0.7529114478492939,11408.1142578125
群馬県,1.5800443484126483,12517.111328125
茨城県,3.0587034442979566,23200.265625
長崎県,1.1674818477973068,5787.20751953125
長野県,0.8757995279077541,14739.7060546875
青森県,1.1801279750823077,15054.892578125
静岡県,2.1476139326337083,20438.841796875
香川県,2.1248993189988936,4802.2724609375
高知県,0.6432573583806984,5488.9150390625
鳥取県,0.8319299534035657,3593.10546875
鹿児島県,0.6460072549828099,6952.330078125
