Model,Mean Squared Error,R^2 Score
Random Forest,0.05533408453889414,0.35116333539388644
Linear Regression,0.059278514629126124,0.3049117187846121
Ridge Regression,0.08444755796333056,0.009784433958688665
Lasso Regression,0.09606660749566134,-0.12645827082757544
Gradient Boosting,0.0471886459217046,0.4466751572333938
