region_name,mean_light,sum_light
三重県,19.493445426047305,136805.0
京都府,16.64246599540717,94213.0
佐賀県,23.123672490578965,67498.0
兵庫県,20.748128706133954,213436.0
北海道,7.911197280449317,909938.0
千葉県,34.44437440907658,218584.0
和歌山県,10.328536328536329,58852.0
埼玉県,40.915020182706606,192587.0
大分県,9.84045771406024,74817.0
大阪府,48.738754325259514,112684.0
奈良県,13.48372715113687,60488.0
宮城県,17.83660973251692,166041.0
宮崎県,7.071802706241816,64806.0
富山県,17.186900056465273,91314.0
山口県,11.191132738577995,82792.0
山形県,11.963704945515508,142727.0
山梨県,13.417301414581067,73983.0
岐阜県,13.55870692284233,177836.0
岡山県,14.349436392914654,124754.0
岩手県,8.035719683611266,159501.0
島根県,6.1641736592484495,50688.0
広島県,13.525791154553373,139762.0
徳島県,10.60866959648422,53107.0
愛媛県,10.600763807285546,72170.0
愛知県,36.73084200567644,232947.0
新潟県,12.892791942083727,204802.0
東京都,38.1079270561965,102396.0
栃木県,21.328253809642767,170754.0
沖縄県,0.0,0.0
滋賀県,23.145905303800042,113901.0
熊本県,12.00385007360435,106006.0
石川県,14.483766233766234,75837.0
神奈川県,42.96433378196501,127690.0
福井県,13.813307618129219,71622.0
福岡県,30.584126984126986,183046.0
福島県,10.791628334866605,187688.0
秋田県,8.912024815205914,135035.0
群馬県,17.38424640242363,137718.0
茨城県,30.779433091628214,233462.0
長崎県,14.549727657857575,72123.0
長野県,12.239453357100416,205990.0
青森県,12.087402994434429,154199.0
静岡県,20.319638541557214,193382.0
香川県,26.17787610619469,59162.0
高知県,4.7838978085081445,40821.0
鳥取県,9.14216253762445,39485.0
鹿児島県,7.832744842965991,84296.0
