region_name,mean_light,sum_light
三重県,15.943431176973498,111891.0
京都府,15.239180356827415,86269.0
佐賀県,16.564234326824256,48351.0
兵庫県,17.519296199086224,180221.0
北海道,9.84577330701884,1132451.0
千葉県,30.084305074062403,190915.0
和歌山県,10.21919971919972,58229.0
埼玉県,37.16953473550032,174957.0
大分県,10.420491911087728,79227.0
大阪府,48.04628027681661,111083.0
奈良県,13.652028533214445,61243.0
宮城県,14.378773230207326,133852.0
宮崎県,7.282955041466608,66741.0
富山県,14.292678336156596,75937.0
山口県,11.600567721005676,85821.0
山形県,10.682648784576697,127444.0
山梨県,12.049510337323177,66441.0
岐阜県,11.906831351021653,156170.0
岡山県,12.38796871405567,107701.0
岩手県,8.778074462189531,174236.0
島根県,8.374923993676274,68867.0
広島県,12.651214555308236,130725.0
徳島県,10.46803835397523,52403.0
愛媛県,10.677878965922444,72695.0
愛知県,35.63371176285084,225989.0
新潟県,11.712810827824992,186058.0
東京都,39.83029400818757,107024.0
栃木県,16.543467399450414,132447.0
沖縄県,0.0,0.0
滋賀県,18.284495021337126,89978.0
熊本県,11.341863888574341,100160.0
石川県,13.355423987776929,69929.0
神奈川県,42.27557200538358,125643.0
福井県,11.373191899710704,58970.0
福岡県,27.570593149540517,165010.0
福島県,10.382244710211591,180568.0
秋田県,9.347280887011616,141630.0
群馬県,15.13910628629134,119932.0
茨城県,24.9049439683586,188904.0
長崎県,12.840427678031068,63650.0
長野県,10.059833630421865,169307.0
青森県,12.348357764364662,157528.0
静岡県,17.848691814647474,169866.0
香川県,18.55575221238938,41936.0
高知県,7.6311965311144965,65117.0
鳥取県,9.414216253762445,40660.0
鹿児島県,7.7513473332094405,83420.0
