region_name,relative_mean_light,relative_sum_light
三重県,0.35300909609662956,0.1266257433535299
京都府,0.3274694860680418,0.09475164116351076
佐賀県,0.4161264700302053,0.06208435667104038
兵庫県,0.38319269482733787,0.2014784999678853
北海道,0.17010131252233254,1.0
千葉県,0.6649889447136492,0.21569359102582533
和歌山県,0.2116385701094395,0.06163678979343616
埼玉県,0.8180089072791756,0.1967999478008562
大分県,0.18595040758224424,0.07226115068526669
大阪府,1.0,0.11817090937637316
奈良県,0.28645232156252826,0.06568018440978775
宮城県,0.3208053907247578,0.15263967603906373
宮崎県,0.15293036874503807,0.07163109070722704
富山県,0.31558031652708624,0.08569835215866908
山口県,0.22457677882406052,0.08491842354507631
山形県,0.24689745880293107,0.1505496712575406
山梨県,0.2545933178045978,0.07175241293600813
岐阜県,0.24879516921092867,0.16678849865271156
岡山県,0.27104453127116335,0.12044340725833173
岩手県,0.1685192676447944,0.17096646918670266
島根県,0.14990454499122008,0.06300395877491057
広島県,0.2666944586640435,0.14085204907127324
徳島県,0.20660714566447652,0.05286386728367686
愛媛県,0.21040995742851434,0.0732164357976019
愛知県,0.7259088968920826,0.23530497247820534
新潟県,0.2618998759604031,0.2126401450157464
東京都,0.7881871756850898,0.10824797447951234
栃木県,0.40347309852959556,0.16510222162410704
沖縄県,0.0,0.0
滋賀県,0.4271086896576675,0.10742726528481668
熊本県,0.22993006672239008,0.10378352036327342
石川県,0.2952916601727307,0.07902664909023621
神奈川県,0.8792312324374483,0.13355946165554886
福井県,0.2592914820543929,0.06871629867289794
福岡県,0.5706017597001041,0.17455006275111917
福島県,0.21515625583985434,0.1912609253725561
秋田県,0.20052655643095757,0.1552975504124446
群馬県,0.33901050909517333,0.13726845550685673
茨城県,0.5802157220454459,0.22494058779090573
長崎県,0.2618741452744802,0.06634898593987515
長野県,0.2307628476571354,0.19850559560548459
青森県,0.24399622387461728,0.1590942225131237
静岡県,0.39173422899658666,0.19055236277589338
香川県,0.4629307229649259,0.053474556485692645
高知県,0.12391815023965329,0.05404548462113311
鳥取県,0.1930103605340283,0.042607551136299916
鹿児島県,0.15288255316068788,0.08409567532132549
