region_name,relative_mean_light,relative_sum_light
三重県,0.08545006452799407,0.11690354382539184
京都府,0.09815531091518874,0.10832005594696077
佐賀県,0.07626500898343283,0.04339716291179318
兵庫県,0.13003346822834264,0.2607629008360154
北海道,0.044599346467209915,1.0
千葉県,0.27987013351617007,0.34622509289059844
和歌山県,0.045270902960202655,0.05028558646184944
埼玉県,0.3561936401873096,0.32683779878718894
大分県,0.04171020448391505,0.06182003223369181
大阪府,0.8869012340215783,0.3997284013004684
奈良県,0.07360985243868594,0.0643720194874009
宮城県,0.08284023796490572,0.15033021749156134
宮崎県,0.02548252019115901,0.04552284282845331
富山県,0.07004237577294974,0.07254418436167151
山口県,0.044279684234690156,0.06385880097535128
山形県,0.04116749685947411,0.09574074937200722
山梨県,0.05048994173707636,0.05427171542605385
岐阜県,0.05282031973040271,0.13505303595258655
岡山県,0.05723120730052447,0.09699614209644923
岩手県,0.02564332921735988,0.09922359486615905
島根県,0.021949991946877204,0.03518573060172829
広島県,0.06173226811340495,0.12434850859892195
徳島県,0.03801320654564516,0.03709601584373446
愛媛県,0.04013652430633936,0.05326736649429573
愛知県,0.42900584506414713,0.5303851607269017
新潟県,0.04263851343658841,0.13203564513174765
東京都,1.0,0.5238049330141037
栃木県,0.0865452389567119,0.1350705551521574
沖縄県,0.0,0.0
滋賀県,0.09161196896612389,0.08788353146178403
熊本県,0.04759586284343111,0.08193717884874532
石川県,0.0697074303008431,0.07115093781890258
神奈川県,0.6096786233335515,0.35322520900384646
福井県,0.04916000652441852,0.049689269296059345
福岡県,0.20387328882305003,0.23786273124525734
福島県,0.03633462397714099,0.12318905240141821
秋田県,0.03254136590580233,0.09611864893241227
群馬県,0.07352302327794882,0.11354293410000785
茨城県,0.1399743599838269,0.20696932974854124
長崎県,0.05587992542105189,0.0539978731650836
長野県,0.03769843701807989,0.12368281990017531
青森県,0.05270312649872753,0.13106503650208023
静岡県,0.10391380852836077,0.19278589207682445
香川県,0.10364664887932142,0.045663124190478056
高知県,0.02502645067020052,0.04162966579009341
鳥取県,0.030628013563356375,0.025787185983168485
鹿児島県,0.028788680188913483,0.06039717987904598
