region_name,relative_mean_light,relative_sum_light
三重県,0.3851216126514369,0.12769205714936302
京都府,0.3459713671873267,0.092530719872331
佐賀県,0.45734514050450287,0.06307115615480731
兵庫県,0.4199437408770647,0.20409505421945176
北海道,0.18402540590673885,1.0
千葉県,0.6894509648525133,0.206707426333076
和歌山県,0.23588285035403467,0.06349966588731058
埼玉県,0.8611931809781133,0.19151262494397428
大分県,0.2090595375037277,0.07509440905289261
大阪府,1.0,0.10922962885388539
奈良県,0.2961283970807089,0.06276130326527299
宮城県,0.3340196200022346,0.1469019755163374
宮崎県,0.1840258532921593,0.07967398672100222
富山県,0.3196115486365232,0.08022595721724242
山口県,0.2686898158634867,0.09391136670104673
山形県,0.25722425982776764,0.14497896603291743
山梨県,0.2817806515088786,0.07340583090294975
岐阜県,0.2749672361626666,0.17038642258265507
岡山県,0.30620676330444946,0.1257728908025574
岩手県,0.1873897805285865,0.17572646090833494
島根県,0.16391258814305373,0.06367885213195602
広島県,0.3022093578059336,0.1475322499210956
徳島県,0.23773756342153685,0.056226529844597965
愛媛県,0.2383831724584678,0.07667393820140246
愛知県,0.7510904935683381,0.22504591347273992
新潟県,0.266679632811363,0.20013806468287157
東京都,0.8172802053960674,0.10375075721801105
栃木県,0.4369091241522416,0.16525679598661244
沖縄県,0.0,0.0
滋賀県,0.44675315484621847,0.10386605131644243
熊本県,0.27146425755745696,0.11325963798613876
石川県,0.27467484489333766,0.0679471357343009
神奈川県,0.9091727916681228,0.1276579493119104
福井県,0.2625645568948552,0.06431873437825016
福岡県,0.5951264763837678,0.16827750136551448
福島県,0.22846950047830192,0.18772857655504116
秋田県,0.2092449224863141,0.14978817111373618
群馬県,0.3769427086494987,0.14107914315347614
茨城県,0.6186784291203575,0.2217038257944604
長崎県,0.28889158181087776,0.06765601813576168
長野県,0.26931236224037575,0.21413765058490136
青森県,0.26809257923368157,0.16157939463872834
静岡県,0.4205803529088424,0.18910441946298892
香川県,0.4826510904241573,0.05153406003844097
高知県,0.14971402155999422,0.06035549974467161
鳥取県,0.1845551667962504,0.037658415292224905
鹿児島県,0.18150890269284348,0.09228764148147152
