region_name,relative_mean_light,relative_sum_light
三重県,0.36201433117909393,0.14239674220498533
京都府,0.32600156537163016,0.10343648801778528
佐賀県,0.4444392633355315,0.07271222599686812
兵庫県,0.40109503009434544,0.2312580965770938
北海道,0.1551206037427311,1.0
千葉県,0.661634268755443,0.2353309158462423
和歌山県,0.21701514630287183,0.06930641217253285
埼玉県,0.8405237161750415,0.22174564360270416
大分県,0.18597698266598345,0.07925106625913536
大阪府,1.0,0.12958321655462626
奈良県,0.2752921905312567,0.06921720954617733
宮城県,0.3125132367340348,0.16305434396647822
宮崎県,0.1573183624479381,0.08080261645690621
富山県,0.2813210085834843,0.08377277616413743
山口県,0.23935302766874947,0.09924626658233661
山形県,0.21027325586273804,0.1406000286599406
山梨県,0.25281316249131974,0.07813171717357738
岐阜県,0.25012348518895716,0.18387251045541106
岡山県,0.2803416025753633,0.13660547750165888
岩手県,0.15124591346831964,0.16826089984156462
島根県,0.13833115650217612,0.0637545558083283
広島県,0.2659201140160095,0.1540063201499525
徳島県,0.2193750044380628,0.06155153868775455
愛媛県,0.21302137262188378,0.08128373513841082
愛知県,0.7366425700467758,0.2618448139031789
新潟県,0.21080418405596363,0.18768405235446017
東京都,0.8113805998833344,0.12219493708912839
栃木県,0.40139003871768636,0.1801121881289145
沖縄県,0.0,0.0
滋賀県,0.41397632868907636,0.1141799372358811
熊本県,0.2397086747578975,0.11864639906262427
石川県,0.2557778151784352,0.07506257132613228
神奈川県,0.8863699052407801,0.1476470361420267
福井県,0.2302067268986102,0.06690024326419458
福岡県,0.5823565958588681,0.19535029871369813
福島県,0.2042727021366904,0.19912270655731384
秋田県,0.1678332243644888,0.1425308338949262
群馬県,0.34413027618841363,0.1527983439388542
茨城県,0.583160350382322,0.2479159676729682
長崎県,0.2838142604442851,0.0788522441942039
長野県,0.22821821153363217,0.21527586343826055
青森県,0.21101475758543792,0.15087674671691173
静岡県,0.4007468438091928,0.2137622962942927
香川県,0.46395368168491463,0.05876841674546232
高知県,0.12747072126655043,0.060963952355438514
鳥取県,0.1599750819120916,0.03872544985459972
鹿児島県,0.15974713870395116,0.09635782799086334
