region_name,relative_mean_light,relative_sum_light
三重県,0.3471819273576781,0.13983971644458643
京都府,0.32066318961730295,0.10418431101881628
佐賀県,0.4329338228161649,0.07252966511647532
兵庫県,0.39283335767968036,0.2319301238445147
北海道,0.15148525125126905,1.0
千葉県,0.6558837973980753,0.23888398279619152
和歌山県,0.20841261046776904,0.06815637743492059
埼玉県,0.8371174032884979,0.2261468954479832
大分県,0.1750493333310477,0.07638454791779063
大阪府,1.0,0.13269296265375075
奈良県,0.2698523143565798,0.06947770708315877
宮城県,0.30250002222717426,0.1616175437856215
宮崎県,0.14984787133437902,0.07881261170570275
富山県,0.30322102158161923,0.0924611271689367
山口県,0.2319049739139479,0.09846558183412853
山形県,0.20463374640070933,0.14011278320127069
山梨県,0.244952230692613,0.07751901069059366
岐阜県,0.2459949158066041,0.1851772372033865
岡山県,0.27515170034408265,0.1372941073640619
岩手県,0.1462256459365576,0.16657976352298312
島根県,0.13489428354809876,0.06366253047889157
広島県,0.2627654175049835,0.15583130140722812
徳島県,0.22082174033111124,0.06344431819209312
愛媛県,0.21458040048186894,0.08384355022951472
愛知県,0.7289800180081042,0.2653395099868289
新潟県,0.21722325398767917,0.19804030899342048
東京都,0.8192834481059769,0.12634611964905196
栃木県,0.38035544409112726,0.17476935503802138
沖縄県,0.0,0.0
滋賀県,0.4119492960404665,0.11634753622052703
熊本県,0.2380125510031345,0.12063402122446028
石川県,0.26797120672984376,0.08052817018147185
神奈川県,0.8801648161193528,0.15013186170645626
福井県,0.24092531733814204,0.07169539493711327
福岡県,0.5703732807420095,0.19592208254090726
福島県,0.1967796122456807,0.19642180073360319
秋田県,0.15767707447226287,0.13711929641607418
群馬県,0.3395952552753061,0.1544032768010802
茨城県,0.575570386840918,0.2505613541217709
長崎県,0.27975260637536953,0.07958901343331716
長野県,0.21676604595165985,0.20938011435047185
青森県,0.21064731221315733,0.1542284658530925
静岡県,0.39246005117273186,0.21436584314635596
香川県,0.4699086300040399,0.06095115239596488
高知県,0.12334822005653732,0.06040803286445822
鳥取県,0.1667410428142615,0.04133193886439191
鹿児島県,0.15264580516209605,0.0942839833989879
