都道府県,GDP
北海道,33572777.0
青森県,7660360.0
岩手県,8244145.0
宮城県,15484951.0
秋田県,6536223.0
山形県,8056519.0
福島県,15345795.0
茨城県,25361467.0
栃木県,17677918.0
群馬県,16347250.0
埼玉県,40596175.0
千葉県,39021902.0
東京都,183540021.0
神奈川県,63559063.0
新潟県,16796033.0
富山県,9024797.0
石川県,8547471.0
福井県,6719503.0
山梨県,6458795.0
長野県,16235242.0
岐阜県,15042734.0
静岡県,36124601.0
愛知県,83103646.0
三重県,19448520.0
滋賀県,12674343.0
京都府,17362721.0
大阪府,69468490.0
兵庫県,39258072.0
奈良県,7004444.0
和歌山県,7111104.0
鳥取県,3755768.0
島根県,4496797.0
岡山県,17195091.0
広島県,22900976.0
山口県,13533155.0
徳島県,5244913.0
香川県,7489790.0
愛媛県,10109133.0
高知県,3944081.0
福岡県,32831443.0
佐賀県,5363470.0
長崎県,7545476.0
熊本県,10269886.0
大分県,9046717.0
宮崎県,6265786.0
鹿児島県,9405087.0
沖縄県,6295953.0
