都道府県,GDP
北海道,32412191.0
青森県,7359942.0
岩手県,8143658.0
宮城県,15240268.0
秋田県,5719745.0
山形県,7110824.0
福島県,13537951.0
茨城県,24657942.0
栃木県,15861427.0
群馬県,15562909.0
埼玉県,38408133.0
千葉県,37888911.0
東京都,173441978.0
神奈川県,59769610.0
新潟県,15492066.0
富山県,8163289.0
石川県,7880907.0
福井県,5763806.0
山梨県,5669866.0
長野県,13957482.0
岐阜県,13566787.0
静岡県,32171546.0
愛知県,72780255.0
三重県,18310569.0
滋賀県,11755246.0
京都府,16427265.0
大阪府,66289941.0
兵庫県,37521732.0
奈良県,6142346.0
和歌山県,7217594.0
鳥取県,3036422.0
島根県,4037394.0
岡山県,15851965.0
広島県,20667809.0
山口県,12549686.0
徳島県,5104064.0
香川県,7611755.0
愛媛県,9510037.0
高知県,3767287.0
福岡県,33042429.0
佐賀県,4839809.0
長崎県,7526248.0
熊本県,9796356.0
大分県,9514696.0
宮崎県,6126627.0
鹿児島県,8785961.0
沖縄県,6525468.0
