都道府県,GDP
北海道,32971254.0
青森県,7783169.0
岩手県,8257533.0
宮城県,14825658.0
秋田県,6425969.0
山形県,8187336.0
福島県,15490804.0
茨城県,26619534.0
栃木県,18725468.0
群馬県,16719440.0
埼玉県,41403898.0
千葉県,40666353.0
東京都,184007157.0
神奈川県,64498658.0
新潟県,16741695.0
富山県,9092547.0
石川県,8564791.0
福井県,6784417.0
山梨県,6559552.0
長野県,16433883.0
岐阜県,15117537.0
静岡県,36969005.0
愛知県,84962244.0
三重県,20183766.0
滋賀県,13030187.0
京都府,18001675.0
大阪府,70681069.0
兵庫県,39970291.0
奈良県,6957793.0
和歌山県,7462100.0
鳥取県,3677402.0
島根県,4592608.0
岡山県,17039037.0
広島県,24036000.0
山口県,14017739.0
徳島県,5243902.0
香川県,7653191.0
愛媛県,10643848.0
高知県,3973575.0
福岡県,33886595.0
佐賀県,5638131.0
長崎県,7694646.0
熊本県,10313579.0
大分県,9436681.0
宮崎県,6285998.0
鹿児島県,9600779.0
沖縄県,6281188.0
