都道府県,GDP
北海道,32451329.0
青森県,7443808.0
岩手県,7860452.0
宮城県,14326566.0
秋田県,5991660.0
山形県,7628900.0
福島県,14811441.0
茨城県,25179671.0
栃木県,17304008.0
群馬県,16108641.0
埼玉県,40211455.0
千葉県,40206643.0
東京都,181790969.0
神奈川県,61725160.0
新潟県,15954673.0
富山県,8603242.0
石川県,8271823.0
福井県,6479093.0
山梨県,6270660.0
長野県,15281034.0
岐阜県,14378620.0
静岡県,35185733.0
愛知県,76243135.0
三重県,19157596.0
滋賀県,12637460.0
京都府,16967069.0
大阪府,68944887.0
兵庫県,40154917.0
奈良県,6892774.0
和歌山県,7341999.0
鳥取県,3491633.0
島根県,4279670.0
岡山県,16524474.0
広島県,22388416.0
山口県,13157483.0
徳島県,5103519.0
香川県,7483835.0
愛媛県,10208011.0
高知県,3856949.0
福岡県,32791667.0
佐賀県,5408335.0
長崎県,7536305.0
熊本県,9926857.0
大分県,9371834.0
宮崎県,6203494.0
鹿児島県,9312509.0
沖縄県,6353219.0
