都道府県,GDP
北海道,34435515.0
青森県,7678807.0
岩手県,8954560.0
宮城県,16851988.0
秋田県,6116005.0
山形県,7967967.0
福島県,15060444.0
茨城県,26676049.0
栃木県,17093281.0
群馬県,17254798.0
埼玉県,40434906.0
千葉県,38354759.0
東京都,192701447.0
神奈川県,60056465.0
新潟県,15849306.0
富山県,8776521.0
石川県,8418022.0
福井県,6670355.0
山梨県,6541800.0
長野県,15267354.0
岐阜県,14689558.0
静岡県,34011490.0
愛知県,79503685.0
三重県,18740652.0
滋賀県,13346163.0
京都府,16874735.0
大阪府,67826830.0
兵庫県,40050215.0
奈良県,6275046.0
和歌山県,6649060.0
鳥取県,3300089.0
島根県,4486202.0
岡山県,15375145.0
広島県,22044250.0
山口県,12025236.0
徳島県,5607171.0
香川県,7153764.0
愛媛県,9790124.0
高知県,3981232.0
福岡県,34319585.0
佐賀県,5688039.0
長崎県,7941959.0
熊本県,10879168.0
大分県,9402605.0
宮崎県,6530151.0
鹿児島県,10016191.0
沖縄県,7066441.0
