都道府県,GDP
北海道,32433223.0
青森県,7222163.0
岩手県,7729739.0
宮城県,13692536.0
秋田県,5695919.0
山形県,7372578.0
福島県,12675656.0
茨城県,24701064.0
栃木県,16362995.0
群馬県,15381238.0
埼玉県,39527358.0
千葉県,36862288.0
東京都,173688630.0
神奈川県,61140307.0
新潟県,15623705.0
富山県,8305243.0
石川県,7825809.0
福井県,6217609.0
山梨県,5990084.0
長野県,14201577.0
岐阜県,13621871.0
静岡県,32160441.0
愛知県,71124755.0
三重県,18099637.0
滋賀県,12174720.0
京都府,16678743.0
大阪府,66933916.0
兵庫県,37828711.0
奈良県,6288785.0
和歌山県,7243858.0
鳥取県,3138334.0
島根県,4179534.0
岡山県,16104689.0
広島県,21466890.0
山口県,12658617.0
徳島県,5063384.0
香川県,7530026.0
愛媛県,9935841.0
高知県,3769088.0
福岡県,33007528.0
佐賀県,4977929.0
長崎県,7477931.0
熊本県,9866902.0
大分県,9505790.0
宮崎県,6034543.0
鹿児島県,8984022.0
沖縄県,6358294.0
