都道府県,GDP
北海道,33328849.0
青森県,7365639.0
岩手県,8537900.0
宮城県,15875684.0
秋田県,5794056.0
山形県,7327993.0
福島県,14530551.0
茨城県,24997445.0
栃木県,17034721.0
群馬県,16431419.0
埼玉県,39692722.0
千葉県,40100921.0
東京都,176650388.0
神奈川県,61008160.0
新潟県,15962903.0
富山県,8360417.0
石川県,8125170.0
福井県,5794225.0
山梨県,5832529.0
長野県,14241677.0
岐阜県,13609860.0
静岡県,32795462.0
愛知県,76532601.0
三重県,19008617.0
滋賀県,12128442.0
京都府,16672493.0
大阪府,67092805.0
兵庫県,38090559.0
奈良県,6364947.0
和歌山県,7606885.0
鳥取県,3107514.0
島根県,4143527.0
岡山県,16280870.0
広島県,21323806.0
山口県,13383662.0
徳島県,5266698.0
香川県,7197192.0
愛媛県,9929197.0
高知県,3902150.0
福岡県,33927385.0
佐賀県,4974738.0
長崎県,7631915.0
熊本県,9978475.0
大分県,9777341.0
宮崎県,6334186.0
鹿児島県,9159800.0
沖縄県,6751300.0
