都道府県,GDP
北海道,31940878.0
青森県,7208919.0
岩手県,7446436.0
宮城県,13934731.0
秋田県,5692658.0
山形県,7348844.0
福島県,13415720.0
茨城県,23771445.0
栃木県,16858182.0
群馬県,15374676.0
埼玉県,38675937.0
千葉県,36752685.0
東京都,170268022.0
神奈川県,58916636.0
新潟県,15358262.0
富山県,8193659.0
石川県,7919246.0
福井県,6249966.0
山梨県,6071335.0
長野県,14268080.0
岐阜県,13353842.0
静岡県,32403452.0
愛知県,69930340.0
三重県,17748040.0
滋賀県,12131250.0
京都府,16304542.0
大阪府,65372250.0
兵庫県,37181036.0
奈良県,6427530.0
和歌山県,6774481.0
鳥取県,3227047.0
島根県,4128618.0
岡山県,15803242.0
広島県,21056969.0
山口県,12725175.0
徳島県,5053038.0
香川県,7175161.0
愛媛県,9568005.0
高知県,3738172.0
福岡県,32422204.0
佐賀県,5112310.0
長崎県,7478063.0
熊本県,9699728.0
大分県,9285038.0
宮崎県,5980031.0
鹿児島県,8942560.0
沖縄県,6271779.0
