都道府県,GDP
北海道,31660222.0
青森県,7182092.0
岩手県,7514187.0
宮城県,13666741.0
秋田県,5685302.0
山形県,7193163.0
福島県,13628217.0
茨城県,23416247.0
栃木県,16598226.0
群馬県,15133061.0
埼玉県,38139223.0
千葉県,37073779.0
東京都,170399967.0
神奈川県,56805091.0
新潟県,15235750.0
富山県,7819185.0
石川県,7645011.0
福井県,6183713.0
山梨県,5730367.0
長野県,14010855.0
岐阜県,13288270.0
静岡県,32112212.0
愛知県,70697354.0
三重県,17779277.0
滋賀県,11653209.0
京都府,16072665.0
大阪府,64231748.0
兵庫県,35895111.0
奈良県,6569261.0
和歌山県,6508103.0
鳥取県,3318785.0
島根県,4129397.0
岡山県,14776421.0
広島県,21066745.0
山口県,11871270.0
徳島県,4960679.0
香川県,7069380.0
愛媛県,9404159.0
高知県,3740063.0
福岡県,32068057.0
佐賀県,5040068.0
長崎県,7521433.0
熊本県,9477386.0
大分県,8292946.0
宮崎県,6044554.0
鹿児島県,8935803.0
沖縄県,6235620.0
