Model,Mean Squared Error,R^2 Score
Random Forest,0.047572722849184595,0.43896774363955815
Linear Regression,0.04728535239366186,0.4423567465264512
Ridge Regression,0.04967648254446619,0.4141577899939426
Lasso Regression,0.09544627765196935,-0.12561226907379774
Gradient Boosting,0.04416041484565946,0.4792096037635538
