都道府県,GDP
北海道,33595929.0
青森県,7761566.0
岩手県,8820061.0
宮城県,17068241.0
秋田県,5968036.0
山形県,7659956.0
福島県,15410216.0
茨城県,25614356.0
栃木県,17898885.0
群馬県,17565376.0
埼玉県,40727036.0
千葉県,38091514.0
東京都,183866463.0
神奈川県,61169792.0
新潟県,15863055.0
富山県,8671993.0
石川県,8608215.0
福井県,6058652.0
山梨県,6258722.0
長野県,15120618.0
岐阜県,14385194.0
静岡県,33372591.0
愛知県,79212837.0
三重県,18222982.0
滋賀県,12985372.0
京都府,17661982.0
大阪府,68015134.0
兵庫県,39165365.0
奈良県,6341876.0
和歌山県,6872457.0
鳥取県,3278958.0
島根県,4315641.0
岡山県,15881940.0
広島県,23030633.0
山口県,12347122.0
徳島県,5282986.0
香川県,7313564.0
愛媛県,9984603.0
高知県,4090828.0
福岡県,35926554.0
佐賀県,5335296.0
長崎県,7813552.0
熊本県,10655270.0
大分県,9298441.0
宮崎県,6590130.0
鹿児島県,9491886.0
沖縄県,7432337.0
