都道府県,GDP
北海道,36226746.0
青森県,7784990.0
岩手県,8936940.0
宮城県,17881853.0
秋田県,6376591.0
山形県,8304944.0
福島県,15358009.0
茨城県,29461754.0
栃木県,17732357.0
群馬県,18048513.0
埼玉県,42583737.0
千葉県,41836928.0
東京都,201351569.0
神奈川県,63644843.0
新潟県,16537380.0
富山県,9283466.0
石川県,8878282.0
福井県,7394029.0
山梨県,6817953.0
長野県,16141045.0
岐阜県,15510115.0
静岡県,35308099.0
愛知県,84920329.0
三重県,20179382.0
滋賀県,14269251.0
京都府,18315191.0
大阪府,71908358.0
兵庫県,42410501.0
奈良県,6609765.0
和歌山県,6770836.0
鳥取県,3488630.0
島根県,4649298.0
岡山県,17319120.0
広島県,23641477.0
山口県,13580682.0
徳島県,6005327.0
香川県,7677080.0
愛媛県,11061109.0
高知県,4111176.0
福岡県,36050243.0
佐賀県,5974868.0
長崎県,7971899.0
熊本県,11677088.0
大分県,10476009.0
宮崎県,6800650.0
鹿児島県,10663958.0
沖縄県,7487117.0
