都道府県,GDP
北海道,34262724.0
青森県,7842804.0
岩手県,8926719.0
宮城県,17208769.0
秋田県,6187605.0
山形県,7979298.0
福島県,15148921.0
茨城県,27031251.0
栃木県,18268635.0
群馬県,18146373.0
埼玉県,42343287.0
千葉県,39386836.0
東京都,185464460.0
神奈川県,63545150.0
新潟県,16306920.0
富山県,8926219.0
石川県,8802799.0
福井県,6417356.0
山梨県,6697213.0
長野県,15517465.0
岐阜県,14958539.0
静岡県,34129336.0
愛知県,82600192.0
三重県,19123753.0
滋賀県,13656995.0
京都府,18165221.0
大阪府,70420444.0
兵庫県,40127354.0
奈良県,6406126.0
和歌山県,6840861.0
鳥取県,3395361.0
島根県,4351421.0
岡山県,16538427.0
広島県,23325162.0
山口県,12851174.0
徳島県,5430394.0
香川県,7522591.0
愛媛県,10406736.0
高知県,4119985.0
福岡県,36855245.0
佐賀県,5443332.0
長崎県,7952506.0
熊本県,11146773.0
大分県,9813206.0
宮崎県,6700055.0
鹿児島県,9843699.0
沖縄県,7642064.0
