都道府県,GDP
北海道,34713410.0
青森県,7414296.0
岩手県,8868234.0
宮城県,16728826.0
秋田県,5946202.0
山形県,7562509.0
福島県,15435937.0
茨城県,25653987.0
栃木県,16991579.0
群馬県,17235840.0
埼玉県,39760805.0
千葉県,41307958.0
東京都,189883169.0
神奈川県,60869828.0
新潟県,16170296.0
富山県,8740451.0
石川県,8367622.0
福井県,5923558.0
山梨県,5912767.0
長野県,14439129.0
岐阜県,13779824.0
静岡県,33144659.0
愛知県,80056253.0
三重県,18999428.0
滋賀県,12398963.0
京都府,17016966.0
大阪府,68694326.0
兵庫県,39939269.0
奈良県,6674291.0
和歌山県,7339934.0
鳥取県,3164938.0
島根県,4234978.0
岡山県,16650823.0
広島県,23079666.0
山口県,13095244.0
徳島県,5490639.0
香川県,7177070.0
愛媛県,10018996.0
高知県,4017782.0
福岡県,34582769.0
佐賀県,5091769.0
長崎県,7783869.0
熊本県,10273096.0
大分県,10220480.0
宮崎県,6456734.0
鹿児島県,9491190.0
沖縄県,6980600.0
