都道府県,GDP
北海道,33875637.0
青森県,7718952.0
岩手県,8761111.0
宮城県,16978351.0
秋田県,5908399.0
山形県,7437301.0
福島県,15306242.0
茨城県,25979175.0
栃木県,17746547.0
群馬県,17490097.0
埼玉県,40642325.0
千葉県,39239968.0
東京都,183308046.0
神奈川県,61595533.0
新潟県,16062693.0
富山県,8773277.0
石川県,8532601.0
福井県,6076274.0
山梨県,6247051.0
長野県,14970119.0
岐阜県,14266596.0
静岡県,33064973.0
愛知県,78458296.0
三重県,19167919.0
滋賀県,13013135.0
京都府,17631846.0
大阪府,68471226.0
兵庫県,39297915.0
奈良県,6299134.0
和歌山県,6945486.0
鳥取県,3197225.0
島根県,4250117.0
岡山県,16403731.0
広島県,23338959.0
山口県,12630777.0
徳島県,5268528.0
香川県,7276814.0
愛媛県,10021323.0
高知県,4071751.0
福岡県,35503717.0
佐賀県,5291469.0
長崎県,7856330.0
熊本県,10180550.0
大分県,9781575.0
宮崎県,6512544.0
鹿児島県,9544241.0
沖縄県,7175532.0
