Model,Mean Squared Error,R^2 Score
Random Forest,1889492689365686.5,0.28352878850926666
Linear Regression,1934206020687403.5,0.2665740710646536
Ridge Regression,2279340406011884.5,0.13570357202951144
Lasso Regression,1934205907528369.5,0.26657411397309705
Gradient Boosting,1922640131672644.0,0.270959706722844
