Model,Mean Squared Error,R^2 Score
Random Forest,2057692689249517.5,0.26093524160544146
Linear Regression,2012571894668203.5,0.27714134921326494
Ridge Regression,2370824089095406.0,0.14846733831651227
Lasso Regression,2012571814514587.2,0.27714137800216687
Gradient Boosting,2081689319419635.2,0.25231633375218476
