Model,Mean Squared Error,R^2 Score
Random Forest,2106054639883061.2,0.2761447952420253
Linear Regression,2071573385954725.5,0.2879960713912486
Ridge Regression,2438613752315344.0,0.16184356114053655
Lasso Regression,2071573236831187.2,0.28799612264530794
Gradient Boosting,2029151927842267.2,0.30257641164767723
