Model,Mean Squared Error,R^2 Score
Random Forest,1519518315989559.0,0.4643604411216895
Linear Regression,1369313695854223.5,0.5173084942146726
Ridge Regression,1666586540721659.0,0.412517986712565
Lasso Regression,1369313272546664.5,0.5173086434331925
Gradient Boosting,1414395210759000.0,0.5014169827382644
